"","ID","Entrev","Fecha","Genero","Edad","Carrera","Semestre","oi_1","oi_2","oi_2a","oi_3","oi_4","oi_4a","ef_1","ins_1","ap_1","ap_2","ap_3","X","X.1","X.2"
"1",1,"Keyla y Amanda",NA,"M",22,"3",3,3,"NO","FA","SI","SI","FA",3,2,4,4,4,NA,NA,NA
"2",2,"Keyla y Amanda",NA,"M",23,"3",3,2,"NO","FACMED","SI","SI","FACMED",3,3,4,3,4,NA,NA,NA
"3",3,"Keyla y Amanda",NA,"M",18,"3",3,1,"NO","FAEN","SI","NO","FCF",3,3,2,4,3,NA,NA,NA
"4",4,"Keyla y Amanda",NA,"M",18,"3",3,1,"NO","FCT","NO","NO","FCF",3,3,2,3,3,NA,NA,NA
"5",5,"Keyla y Amanda",NA,"M",19,"3",3,2,"SI",NA,"SI","SI","FAE",3,3,4,4,3,NA,NA,NA
"6",6,"Keyla y Amanda",NA,"H",18,"3",3,1,"SI",NA,"NO","NO","FCF",3,3,4,5,5,NA,NA,NA
"7",7,"Keyla y Amanda",NA,"M",18,"3",3,1,"NO","FAV","NO","NO","FCF",3,3,3,4,3,NA,NA,NA
"8",8,"Keyla y Amanda",NA,"M",19,"3",3,3,"NO","FAECO","NO","NO","FCF",2,3,5,5,3,NA,NA,NA
"9",9,"Keyla y Amanda",NA,"M",19,"3",3,5,"SI",NA,"NO","NO","FCF",2,3,3,3,3,NA,NA,NA
"10",10,"Keyla y Amanda",NA,"H",19,"3",3,1,"SI",NA,"NO","NO","FCF",1,3,3,4,2,NA,NA,NA
"11",11,"Keyla y Amanda",NA,"M",19,"3",3,2,"SI",NA,"NO","NO","FCF",3,3,5,5,5,NA,NA,NA
"12",12,"Keyla y Amanda",NA,"H",17,"3",3,4,"NO","FIME","SI","SI","FIME",3,3,3,4,5,NA,NA,NA
"13",13,"Keyla y Amanda",NA,"M",18,"3",3,1,"NO","FFyL","NO","NO","FCF",2,3,3,4,4,NA,NA,NA
"14",14,"Keyla y Amanda",NA,"M",19,"3",3,2,"SI",NA,"NO","NO","FCF",3,3,3,3,3,NA,NA,NA
"15",15,"Keyla y Amanda",NA,"M",21,"3",3,2,"NO","FAMUS","SI","SI","FAMUS",2,3,3,4,3,NA,NA,NA
"16",16,"Keyla y Amanda",NA,"M",19,"3",3,1,"SI",NA,"NO","NO","FCF",2,3,4,4,3,NA,NA,NA
"17",17,"Keyla y Amanda",NA,"M",20,"3",3,3,"SI",NA,"NO","NO","FCF",2,3,4,3,3,NA,NA,NA
"18",18,"Keyla y Amanda",NA,"H",18,"3",3,1,"SI",NA,"NO","NO","FCF",3,2,3,3,4,NA,NA,NA
"19",19,"Jackelin, Alejandro, Ana ",NA,"H",21,"9",9,3,"SI",NA,"NO","NO","FCF",3,3,4,5,5,NA,NA,NA
"20",20,"Jackelin, Alejandro, Ana ",NA,"H",21,"9",9,1,"SI",NA,"NO","NO","FCF",3,3,5,5,4,NA,NA,NA
"21",21,"Jackelin, Alejandro, Ana ",NA,"H",21,"9",9,1,"NO","FCB","NO","NO","FCB",3,3,4,4,4,NA,NA,NA
"22",22,"Jackelin, Alejandro, Ana ",NA,"H",21,"9",9,1,"NO","FACMED","NO","NO","FACMED",3,3,4,3,4,NA,NA,NA
"23",23,"Jackelin, Alejandro, Ana ",NA,"H",21,"9",9,4,"SI",NA,"NO","NO","FCF",2,2,3,3,3,NA,NA,NA
"24",24,"Jackelin, Alejandro, Ana ",NA,"H",21,"9",9,4,"NO",NA,"NO","NO","FCF",2,3,4,5,4,NA,NA,NA
"25",25,"Jackelin, Alejandro, Ana ",NA,"H",22,"9",9,1,"SI",NA,"NO","NO","FCF",3,3,3,4,3,NA,NA,NA
"26",26,"Jackelin, Alejandro, Ana ",NA,"M",21,"9",9,1,"SI",NA,"NO","NO","FCF",2,3,4,4,3,NA,NA,NA
"27",27,"Jackelin, Alejandro, Ana ",NA,"H",22,"9",9,3,"SI",NA,"NO","NO","FCF",3,3,3,2,2,NA,NA,NA
"28",28,"Jackelin, Alejandro, Ana ",NA,"H",21,"9",9,1,"NO","FaSPyN","NO","NO","FaSPyN",3,3,3,5,3,NA,NA,NA
"29",29,"Jackelin, Alejandro, Ana ",NA,"M",22,"9",9,1,"NO","FTSyDH","SI","SI","FTSyDH",3,3,4,5,4,NA,NA,NA
"30",30,"Fili y Martin",NA,"H",20,"7",7,2,"NO","FACPYA","NO","NO","FCF",3,2,4,5,4,NA,NA,NA
"31",31,"Fili y Martin",NA,"H",27,"7",7,1,"NO","FCT","SI","SI","FCF",2,3,5,4,4,NA,NA,NA
"32",32,"Fili y Martin",NA,"H",20,"7",7,4,"SI",NA,"NO","NO","FCF",2,3,4,5,4,NA,NA,NA
"33",33,"Fili y Martin",NA,"H",26,"7",7,4,"NO","FACMED","SI","SI","FACMED",2,2,5,3,4,NA,NA,NA
"34",34,"Fili y Martin",NA,"H",24,"7",7,4,"NO","FACMED","SI","SI","FACMED",2,2,4,3,3,NA,NA,NA
"35",35,"Fili y Martin",NA,"F",20,"7",7,4,"NO","FaPsi","NO","NO","FCF",2,3,4,4,4,NA,NA,NA
"36",36,"Fili y Martin",NA,"F",20,"7",7,4,"SI",NA,"NO","NO","FCF",2,2,3,4,3,NA,NA,NA
"37",37,"Fili y Martin",NA,"F",21,"7",7,4,"NO","FACDYC","NO","NO","FCF",2,3,4,3,3,NA,NA,NA
"38",38,"Fili y Martin",NA,"F",20,"7",7,4,"SI",NA,"NO","NO","FCF",3,3,4,5,5,NA,NA,NA
"39",39,"Fili y Martin",NA,"H",20,"7",7,1,"SI",NA,"NO","NO","FCF",3,2,5,5,4,NA,NA,NA
"40",40,"Fili y Martin",NA,"F",21,"7",7,1,"SI",NA,"NO","NO","FCF",3,3,4,3,4,NA,NA,NA
"41",41,"Priscila y Citlali",NA,"M",19,"5",5,1,"SI",NA,"NO","NO","FCF",2,2,3,4,3,NA,NA,NA
"42",42,"Priscila y Citlali",NA,"M",21,"5",5,2,"SI",NA,"NO","NO","FCF",2,2,3,3,3,NA,NA,NA
"43",43,"Priscila y Citlali",NA,"M",19,"5",5,1,"SI",NA,"NO","NO","FCF",2,3,3,5,3,NA,NA,NA
"44",44,"Priscila y Citlali",NA,"H",20,"5",5,1,"SI",NA,"NO","NO","FCF",3,3,3,4,3,NA,NA,NA
"45",45,"Priscila y Citlali",NA,"H",20,"5",5,1,"SI",NA,"NO","SI","FACMED",2,3,4,4,4,NA,NA,NA
"46",46,"Priscila y Citlali",NA,"M",20,"5",5,1,"SI","FARQ","SI","SI","FARQ",2,2,2,4,4,NA,NA,NA
"47",47,"Priscila y Citlali",NA,"M",19,"5",5,5,"SI","FCFM","NO","NO","FCF",3,3,2,5,3,NA,NA,NA
"48",48,"Priscila y Citlali",NA,"M",19,"5",5,1,"SI",NA,"NO","NO","FCF",2,3,3,3,3,NA,NA,NA
"49",49,"Priscila y Citlali",NA,"M",19,"5",5,1,"SI",NA,"NO","NO","FCF",3,2,3,3,2,NA,NA,NA
"50",50,"Priscila y Citlali",NA,"M",19,"5",5,1,"SI",NA,"NO","NO","FCF",2,3,3,3,3,NA,NA,NA
"51",51,"Priscila y Citlali",NA,"M",18,"5",5,1,"SI",NA,"SI","NO","FCF",2,2,4,5,4,NA,NA,NA
"52",52,"Priscila y Citlali",NA,"M",24,"5",5,1,"SI",NA,"SI","SI","FCT",3,3,3,4,4,NA,NA,NA
"53",53,"Priscila y Citlali",NA,"M",20,"5",5,1,"SI","FA","NO","NO","FCF",3,3,4,4,5,NA,NA,NA
"54",54,"Priscila y Citlali",NA,"M",21,"5",5,3,"SI",NA,"SI","NO","FCF",2,3,4,4,5,NA,NA,NA
"55",55,"Priscila y Citlali",NA,"M",18,"5",5,2,"SI",NA,"NO","NO","FCF",2,3,4,5,5,NA,NA,NA
"56",56,"Priscila y Citlali",NA,"M",20,"5",5,1,"SI",NA,"NO","NO","FCF",2,2,3,4,5,NA,NA,NA
"57",57,"Priscila y Citlali",NA,"M",20,"5",5,1,"SI","FCB ","SI","NO","FCF",2,2,3,4,3,NA,NA,NA
"58",58,"Priscila y Citlali",NA,"M",18,"5",5,1,"SI","FAV","NO","NO","FCF",2,2,3,5,2,NA,NA,NA
"59",59,"Kenny Y Santiago",NA,"F",18,"1",1,4,"NO","FACPYA","NO","NO","FCF",3,3,4,4,4,NA,NA,NA
"60",60,"Kenny Y Santiago",NA,"H",19,"1",1,4,"SI",NA,"NO","NO","FCF",3,3,3,5,3,NA,NA,NA
"61",61,"Kenny Y Santiago",NA,"H",17,"1",1,1,"SI",NA,"NO","NO","FCF",3,3,4,4,5,NA,NA,NA
"62",62,"Kenny Y Santiago",NA,"H",18,"1",1,2,"SI",NA,"SI","SI","FFyL",3,2,2,3,4,NA,NA,NA
"63",63,"Kenny Y Santiago",NA,"H",17,"1",1,4,"NO","Fapsi","SI","SI","FFyL",3,3,3,4,5,NA,NA,NA
"64",64,"Kenny Y Santiago",NA,"H",16,"1",1,1,"SI",NA,"NO","NO","FCF",2,3,3,4,4,NA,NA,NA
"65",65,"Kenny Y Santiago",NA,"H",17,"1",1,4,"SI",NA,"NO","NO","FCF",2,3,3,4,3,NA,NA,NA
"66",66,"Kenny Y Santiago",NA,"H",17,"1",1,4,"SI",NA,"NO","NO","FCF",3,3,3,5,4,NA,NA,NA
"67",67,"Kenny Y Santiago",NA,"F",18,"1",1,4,"NO","Fapsi","NO","NO","FCF",3,3,2,4,4,NA,NA,NA
"68",68,"Kenny Y Santiago",NA,"F",18,"1",1,3,"NO","FFyL","NO","NO","FCF",3,3,4,5,4,NA,NA,NA
"69",69,"Kenny Y Santiago",NA,"F",18,"1",1,1,"SI",NA,"NO","NO","FCF",3,3,4,4,4,NA,NA,NA
"70",70,"Kenny Y Santiago",NA,"H",16,"1",1,4,"SI",NA,"NO","NO","FCF",3,3,3,4,4,NA,NA,NA
"71",71,"Kenny Y Santiago",NA,"H",18,"1",1,2,"SI",NA,"NO","NO","FCF",3,3,3,4,4,NA,NA,NA
"72",72,"Kenny Y Santiago",NA,"F",18,"1",1,4,"SI",NA,"NO","NO","FCF",2,3,3,5,3,NA,NA,NA
"73",73,"Kenny Y Santiago",NA,"F",19,"1",1,4,"SI",NA,"NO","NO","FCF",3,3,3,5,3,NA,NA,NA
"74",74,"Kenny Y Santiago",NA,"F",17,"1",1,4,"NO","FMVZ","NO","NO","FCF",3,3,4,5,3,NA,NA,NA
"75",75,"Kenny Y Santiago",NA,"H",20,"1",1,2,"SI",NA,"NO","NO","FCF",3,3,3,4,4,NA,NA,NA
"76",76,"Kenny Y Santiago",NA,"F",18,"1",1,1,"NO","Fapsi","NO","NO","FCF",3,3,3,5,3,NA,NA,NA
"77",77,"Kenny Y Santiago",NA,"F",18,"1",1,1,"NO","FFyL","NO","NO","FCF",3,3,3,3,4,NA,NA,NA
"78",78,"Kenny Y Santiago",NA,"H",17,"1",1,1,"SI",NA,"NO","SI","TEC LINARES",2,3,3,4,5,NA,NA,NA
